10	0.5
101	1.0
1026	1.0
1050	1.0
106	1.0
1071	1.0
111	1.0
113	1.0
115	1.0
116	0.5
1165	1.0
118	1.0
1209	1.0
121	1.0
124	1.0
128	1.0
129	1.0
1290	1.0
130	1.0
131	1.0
132	1.0
135	1.0
1355	1.0
1388	1.0
141	1.0
142	1.0
147	1.0
152	1.0
153	1.0
154	1.0
159	1.0
16	0.5
160	1.0
161	1.0
163	1.0
168	1.0
170	1.0
1715	1.0
173	1.0
174	1.0
178	1.0
181	1.0
187	1.0
190	1.0
195	1.0
197	1.0
20	1.0
21	1.0
211	1.0
218	1.0
22	1.0
221	1.0
222	1.0
230	1.0
231	1.0
234	1.0
236	1.0
24	1.0
240	1.0
25	1.0
257	0.5
266	1.0
267	1.0
268	1.0
27	1.0
275	1.0
276	1.0
28	1.0
280	1.0
283	1.0
29	1.0
290	1.0
299	1.0
30	1.0
300	1.0
302	1.0
305	1.0
316	1.0
320	1.0
322	1.0
327	1.0
328	1.0
33	1.0
331	1.0
34	1.0
340	1.0
345	1.0
35	0.6666666666666666
354	1.0
363	1.0
368	1.0
37	1.0
371	0.5
38	1.0
39	1.0
40	1.0
404	1.0
433	1.0
44	1.0
445	1.0
447	1.0
448	1.0
449	1.0
45	1.0
451	1.0
47	1.0
471	1.0
48	1.0
492	1.0
50	1.0
51	1.0
526	1.0
532	1.0
551	1.0
56	1.0
57	1.0
571	1.0
59	1.0
60	1.0
63	1.0
64	1.0
643	1.0
65	1.0
654	1.0
66	1.0
660	1.0
680	1.0
69	1.0
70	1.0
700	1.0
71	1.0
713	1.0
72	1.0
76	1.0
766	1.0
78	1.0
80	1.0
833	1.0
86	1.0
872	1.0
9	1.0
90	1.0
92	1.0
93	1.0
94	1.0
95	1.0
953	1.0
96	1.0
97	1.0
98	1.0
104	1.0
108	1.0
109	1.0
1158	1.0
117	1.0
120	1.0
125	1.0
14	1.0
149	1.0
164	0.5
165	1.0
166	1.0
18	1.0
180	1.0
193	1.0
198	1.0
199	1.0
200	1.0
201	1.0
203	1.0
209	1.0
214	1.0
219	1.0
220	1.0
2262	1.0
23	1.0
239	1.0
253	1.0
286	1.0
293	1.0
36	1.0
364	1.0
4063	1.0
4635	1.0
481	1.0
5	1.0
52	1.0
55	1.0
73	1.0
8	1.0
81	1.0
8185	1.0
87	1.0
89	1.0
